Time (s),Voltage (V),Current (A),Temp (C)
846.32,9.91,0.72,25.0
847.40,9.89,0.71,25.0
848.48,9.89,0.75,25.0
849.57,9.85,0.74,25.0
850.65,9.88,0.72,25.0
851.73,9.90,0.73,25.0
852.81,9.94,0.74,25.0
853.90,9.90,0.73,25.0
854.98,9.88,0.73,25.0
856.06,9.89,0.75,25.0
857.14,9.93,0.75,25.0
858.22,9.88,0.75,25.0
859.30,9.91,0.75,25.0
860.39,9.90,0.74,25.0
861.47,9.87,0.73,25.0
862.55,9.86,0.71,25.0
863.63,9.95,0.75,25.0
864.72,9.90,0.73,25.0
865.80,9.89,0.74,25.0
866.88,9.90,0.75,25.0
867.96,9.91,0.74,25.0
869.05,9.87,0.72,25.0
870.13,9.90,0.72,25.0
871.21,9.92,0.73,25.0
872.29,9.86,0.72,25.0
873.37,9.87,0.73,25.0
874.46,9.89,0.74,25.0
875.54,9.90,0.73,25.0
876.62,9.88,0.73,25.0
877.70,9.88,0.73,25.0
878.78,9.90,0.73,25.0
879.87,9.92,0.75,25.0
880.95,9.90,0.75,25.0
882.03,9.88,0.76,25.0
883.11,9.86,0.73,25.0
884.20,9.88,0.73,25.0
885.28,9.86,0.75,25.0
886.36,9.88,0.75,25.0
887.44,9.86,0.75,25.0
888.53,9.86,0.74,25.0
889.61,9.87,0.73,25.0
890.69,9.88,0.71,25.0
891.77,9.88,0.72,25.0
892.85,9.89,0.73,25.0
893.94,9.88,0.73,25.0
895.02,9.90,0.74,25.0
896.10,9.88,0.75,25.0
897.18,9.89,0.74,25.0
898.27,9.91,0.72,25.0
899.35,9.92,0.75,25.0
900.43,9.90,0.75,25.0
901.51,9.90,0.74,25.0
902.59,9.89,0.73,25.0
903.68,9.87,0.74,25.0
904.76,9.85,0.73,25.0
905.84,9.86,0.74,25.0
906.92,9.86,0.72,25.0
908.01,9.90,0.73,25.0
909.09,9.86,0.75,25.0
910.17,9.89,0.74,25.0
911.25,9.88,0.75,25.0
912.34,9.86,0.74,25.0
913.42,9.88,0.72,25.0
914.50,9.87,0.72,25.0
915.58,9.85,0.72,25.0
916.66,9.86,0.73,25.0
917.74,9.86,0.74,25.0
918.83,9.87,0.74,25.0
919.91,9.84,0.71,25.0
920.99,9.84,0.72,25.0
922.07,9.85,0.76,25.0
923.16,9.88,0.74,25.0
924.23,9.87,0.73,25.0
925.32,9.87,0.73,25.0
926.40,9.87,0.76,25.0
927.48,9.88,0.74,25.0
928.57,9.89,0.72,25.0
929.65,9.88,0.74,25.0
930.73,9.86,0.75,25.0
931.81,9.88,0.76,25.0
932.89,9.86,0.75,25.0
933.98,9.86,0.74,25.0
935.06,9.83,0.73,25.0
936.14,9.87,0.73,25.0
